sig_z,longitude_mm,latitude_mm,risk_encoded
1.0256734699944057,0.4791802776643532,0.11981178141785415,2
0.3654655575080178,0.48559616169865283,0.1131930572202246,1
-0.8257791541522038,0.49454879542670405,0.09309273316464686,0
-1.184587802242632,0.5789863209473252,0.17526079815332712,1
-0.8257791541522038,0.2783789301755819,0.7390642340302748,1
0.5807507463622748,0.32273376888525984,0.7864962045545346,1
-0.6391986571451812,0.5841312780726833,0.17287699205397966,1
-0.8257791541522038,0.5605195998366677,0.22754472410884719,1
-0.43826581421454136,0.5903991425071462,0.1707506547698318,1
-0.23733297128390157,0.5677623519804005,0.1639588049895681,0
-0.9980073052356093,0.5895212331563906,0.17746260043503354,1
1.0256734699944057,0.5744385463454469,0.20649442890753322,2
0.8103882811401488,0.5815077582686818,0.1642118346872642,2
-0.6391986571451812,0.5624897917517355,0.16832689661295336,0
0.5807507463622748,0.5868772968558593,0.17130998357526528,2
-0.03640012835326178,0.5728562678644344,0.1695077018688685,1
0.164532714577378,0.49722335647202964,0.4351666888622543,1
-0.6391986571451812,0.5237801143323813,0.11205220402184046,0
0.3654655575080178,0.4208044099632504,0.07029786478448086,0
-0.8257791541522038,0.41199469171090275,0.14884360989035383,0
-0.23733297128390157,0.5393579011841574,0.29319483286722603,1
-0.6391986571451812,0.5826000408329932,0.22348737071070274,1
-0.23733297128390157,0.540103103307473,0.29508589692369164,1
-0.43826581421454136,0.5904093507554107,0.11239401606960536,0
0.164532714577378,0.5662974683544304,0.14777822168952814,0
-0.43826581421454136,0.5141894650877914,0.06664003196164603,0
0.8103882811401488,0.5640312372396892,0.20693390154037383,2
0.3654655575080178,0.28893936300530854,0.46717272606205895,1
-1.184587802242632,0.5991680277664351,0.20762640387091047,1
0.8103882811401488,0.5503317680685988,0.24715674523904652,2
-0.8257791541522038,0.5936453654552878,0.20621032538731304,1
0.5951030922858919,0.4229277256022863,0.377990855417943,2
-0.23733297128390157,0.5538485095957535,0.21828472499667068,1
-0.9980073052356093,0.598392200898326,0.20962400674745862,1
-0.03640012835326178,0.5596059616169864,0.220566431393439,1
-0.03640012835326178,0.5876071866067782,0.2290762196475341,1
0.164532714577378,0.5777817476521028,0.1613397256625383,0
0.164532714577378,0.5770671702735815,0.15364673502907628,1
-0.8257791541522038,0.5793691302572475,0.22447729391396992,1
-0.8257791541522038,0.5024346672111069,0.046535268788564815,0
-0.6391986571451812,0.5463811759901995,0.47724952279486843,1
-0.23733297128390157,0.3598662719477339,0.07195809473076753,0
